px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
8.88282	-5.68781	2.74212	6.79434	-0.124789	8.85444	-5.64273	8.85	-5.65	1.81774	1.81773	6.90547e-310
8.98131	-5.58988	2.73256	6.83754	-0.0435004	9.02394	-5.6024	8.95	-5.55	1.99657	1.99656	6.90548e-310
9.09097	-5.50498	2.73352	6.84436	-0.0347689	9.05088	-5.45385	9.05	-5.45	1.99654	1.99655	6.90547e-310
9.23219	-5.44631	2.74036	6.80221	-0.104731	9.04088	-5.29691	9.2	-5.4	2.72728	0.909094	6.90548e-310
9.35987	-5.36266	2.74226	6.80252	-0.09881	9.34223	-5.32623	9.35	-5.35	2.72727	0.90909	6.90547e-310
9.45654	-5.24443	2.72705	6.86559	0.0112004	9.39579	-5.21659	9.45	-5.25	1.81816	1.81815	6.90548e-310
9.57744	-5.15558	2.72701	6.87091	0.0157758	9.55303	-5.13194	9.55	-5.15	1.81813	1.81813	6.90547e-310
9.68137	-5.04712	2.71817	6.91709	0.0915537	9.75019	-5.14652	9.65	-5.05	1.82036	1.82036	6.90548e-310
9.79524	-4.9524	2.71672	6.92721	0.0964965	9.7586	-4.93134	9.75	-4.95	1.82036	1.82037	6.90547e-310
9.89262	-4.83505	2.70986	6.97821	0.171096	9.9198	-4.86941	9.85	-4.85	1.81578	1.81577	6.90548e-310
9.99995	-4.73919	2.70508	6.98963	0.173133	9.95641	-4.74358	9.95	-4.75	1.81575	1.81575	6.90547e-310
10.084	-4.60876	2.69886	7.05152	0.255542	10.0029	-4.54771	10.05	-4.6	1.82039	2.7306	6.90548e-310
10.1824	-4.4936	2.6999	7.07403	0.26363	10.1428	-4.45119	10.15	-4.45	1.8204	2.7306	6.90547e-310
10.2683	-4.36624	2.69842	7.11948	0.310832	10.1981	-4.26556	10.25	-4.3	1.81769	2.72652	6.90548e-310
10.3645	-4.23754	2.70702	7.14621	0.319448	10.3644	-4.16342	10.35	-4.15	1.81768	2.7265	6.90547e-310
10.4857	-4.1454	2.71179	7.12323	0.254995	10.5985	-4.12247	10.45	-4.05	1.81792	1.81792	6.90548e-310
10.5764	-4.01616	2.71717	7.14864	0.265348	10.5415	-3.9454	10.55	-3.95	1.8179	1.8179	6.90547e-310
10.6745	-3.90135	2.71901	7.16134	0.261864	10.7092	-3.85166	10.65	-3.85	1.81903	1.81904	6.90548e-310
